# output relocated catalog from HYPODD (details can be found in Yao et al.[2019])
# EVID   YYYY MM DD HH MM  SECND  LONGITUDE   LATITUDE  DEPTH  ML  Pobs Sobs DX(m) DY(m) DZ(m)
								    P   S (phases)	
80404605 2010 04 04 00 04 56.120 -115.290080 32.279356 15.376  1.4   9  21  13.0  11.1  13.8
80404607 2010 04 04 00 05 22.570 -115.287256 32.275358 15.477  1.5   2   2  12.6  25.6  16.4
80404610 2010 04 04 00 16 03.020 -115.288509 32.271511  1.945  1.5  29  75   9.6  11.3  12.5
80404611 2010 04 04 00 16 49.240 -115.289998 32.313304  4.339  1.3   7   4  27.3  31.4  19.0
80404617 2010 04 04 00 34 34.630 -115.301025 32.273169  9.251  1.2   8  11   9.1  10.9  10.4
80404618 2010 04 04 00 36 09.510 -115.292253 32.276324 15.485  1.6  37  36  10.1  11.9  12.1
80404620 2010 04 04 00 42 49.470 -115.292082 32.276361 15.568  1.8  48  59   9.6  11.7  11.0
80404621 2010 04 04 00 43 38.400 -115.288859 32.271145  2.149  1.6  42  82  10.0  11.3  12.5
14607284 2010 04 04 00 50 20.720 -115.290527 32.282279 15.791  2.8  97 133  11.3  12.9   9.9
80404624 2010 04 04 00 53 17.970 -115.293937 32.283223 15.706  1.5  20  42   9.6  14.6  10.3
80404633 2010 04 04 01 40 43.580 -115.288656 32.271395  2.041  1.8  27  47  12.5  12.1  12.3
80404639 2010 04 04 03 08 53.730 -115.291170 32.276156 15.532  1.6  54  36  14.0  14.7  19.8
14607340 2010 04 04 03 29 06.850 -115.289982 32.312225  4.422  2.3  96  32  17.4  17.5  18.8
80404643 2010 04 04 03 33 57.900 -115.288745 32.281757 15.666  1.8  72 120   8.8   9.6  12.0
80404653 2010 04 04 03 55 46.450 -115.291056 32.312347  4.651  1.5  54  13  10.3  12.3  16.7
80404654 2010 04 04 03 57 11.780 -115.291398 32.312085  4.573  1.4  41   9  10.3  11.8  15.6
80404657 2010 04 04 04 29 16.460 -115.291976 32.277502 15.508  1.4   6   2  16.7  21.0  19.8
80404658 2010 04 04 04 30 19.810 -115.290072 32.312101  4.788  1.1  21  10  11.5  14.7  16.2
80404659 2010 04 04 04 30 35.020 -115.290120 32.312199  4.806  1.2   5   4  17.6  18.5  22.6
80404660 2010 04 04 04 31 51.280 -115.289209 32.277313 15.640  1.4   6   5  19.9  19.7  22.8
80404662 2010 04 04 05 00 56.780 -115.299023 32.279405  8.873  1.4   3   5  18.6  19.2  21.6
14607364 2010 04 04 05 05 09.870 -115.289608 32.272927 16.081  3.3  29   9  21.7  16.2  22.2
80404664 2010 04 04 05 05 26.540 -115.288753 32.281504 15.566  3.0   0  41  14.4  19.4  14.9
80404666 2010 04 04 05 08 01.060 -115.282560 32.270516 19.910  1.5   0   2  52.7  55.6  58.2
14607372 2010 04 04 05 11 32.570 -115.292000 32.309483  4.469  1.7  55  15  13.2  17.1  19.2
80404671 2010 04 04 05 17 02.560 -115.287280 32.276170 15.557  1.3  48  45  13.3  13.2  12.5
80404674 2010 04 04 05 17 19.020 -115.294775 32.278202 15.325  1.3   1   3  15.3  14.7  16.6
14607380 2010 04 04 05 25 44.860 -115.288770 32.277057 15.545  1.9  14  52  13.8  16.4  16.4
80404691 2010 04 04 07 18 32.950 -115.287288 32.310409  7.756  1.0   4   6  19.6  21.0  24.9
80404692 2010 04 04 07 20 45.090 -115.294458 32.283946 15.294  1.3  12  14  14.2  22.8  20.6
80404699 2010 04 04 08 55 03.010 -115.290430 32.285374 15.596  1.6  73  77  10.5  13.6  15.5
80404700 2010 04 04 09 23 03.820 -115.292822 32.315466  4.094  1.3   2   3  19.3  21.0  25.2
80404703 2010 04 04 09 34 55.730 -115.290251 32.280157 15.543  1.3  21  38   9.9   9.7  11.2
80404704 2010 04 04 09 35 04.260 -115.289966 32.280745 15.630  1.5  30  81   9.9   9.5  11.5
80404705 2010 04 04 09 36 01.480 -115.290291 32.283834 15.650  1.9  66 112  13.4  15.7  13.4
14607412 2010 04 04 09 36 26.740 -115.295882 32.266880 19.102  3.4   2   3  51.4  50.6  58.0
80404714 2010 04 04 09 49 05.720 -115.290853 32.279478 15.737  1.5 106 138   5.5   9.9   8.4
80404716 2010 04 04 09 58 04.820 -115.287817 32.272375  2.292  1.0   2   6  19.7  18.5  20.3
80404717 2010 04 04 10 00 35.740 -115.293343 32.316191  4.012  1.0   5   3  19.8  22.8  24.7
80404718 2010 04 04 10 01 24.150 -115.291846 32.314720  4.037  1.0  19   4  17.2  25.1  22.0
80404720 2010 04 04 10 02 01.310 -115.291569 32.282837 10.900  0.9   2   9   8.6   8.0   9.2
80404725 2010 04 04 10 37 30.300 -115.289705 32.310779  4.905  1.3  47  16  15.5  14.2  12.9
80404727 2010 04 04 11 03 09.690 -115.287907 32.276884 15.493  1.3  27  49  16.1  13.3  14.1
80404729 2010 04 04 11 05 18.510 -115.291130 32.276988 15.422  1.6  79 100   9.4  14.1  13.7
80404733 2010 04 04 11 41 12.820 -115.290902 32.279100 15.587  1.6 121 143   6.0   7.4   6.8
80404737 2010 04 04 12 05 38.920 -115.288298 32.309310  7.401  1.3   1   2  20.5  18.3  26.8
80404739 2010 04 04 12 42 06.510 -115.301880 32.248763 11.668  1.1   3   2  15.3  14.4  17.0
80404740 2010 04 04 12 49 58.820 -115.301221 32.247386 11.673  1.1  10  12   8.3   8.8   9.3
80404741 2010 04 04 14 37 16.730 -115.292155 32.277643 15.640  1.3   1   3  16.0  19.7  20.8
80404744 2010 04 04 14 43 49.940 -115.300993 32.270492  1.680  1.3   2   1  32.6  17.3  21.4
30677759 2010 04 04 15 07 53.050 -115.292896 32.293616  8.544  2.1  10   8   5.4   6.2   7.8
14607492 2010 04 04 15 09 24.970 -115.285718 32.309487  7.732  1.8  24  55  14.4  15.7  24.3
80404753 2010 04 04 15 26 17.210 -115.286523 32.310278  7.700  1.3  10   9  21.7  17.8  37.8
14607524 2010 04 04 16 21 10.400 -115.287297 32.310360  7.776  2.4  37  66  14.2  15.6  20.8
14607540 2010 04 04 16 55 58.120 -115.289258 32.311265  5.012  1.9  84  26  16.0  14.4  16.1
80404760 2010 04 04 16 58 27.210 -115.290259 32.311145  4.969  1.4  50  18  19.0  21.1  19.8
80404761 2010 04 04 17 12 38.220 -115.289730 32.308925  5.240  1.2  22  11  16.1  17.3  20.0
14607556 2010 04 04 17 18 00.880 -115.288802 32.315371  8.155  2.2  61  63   7.5   9.6  11.9
14607564 2010 04 04 17 19 07.380 -115.304915 32.292283 14.301  2.1  13  13   9.3  12.0  14.1
80404772 2010 04 04 17 46 10.480 -115.290129 32.314966  8.334  1.6  51  40  10.2   8.5  14.3
80404775 2010 04 04 18 25 16.040 -115.291528 32.311373  4.693  1.1   8   4  18.2  19.5  24.2
80404780 2010 04 04 19 19 48.240 -115.291984 32.276955 15.497  1.5  43  77   8.4   9.2   9.9
80404783 2010 04 04 20 18 56.560 -115.296875 32.274801 11.424  1.3   2   2  15.5  17.5  18.0
80404784 2010 04 04 20 19 27.560 -115.296208 32.274833 11.382  1.3   4   4  13.6  14.2  16.9
80404786 2010 04 04 20 19 43.500 -115.296720 32.275279 11.364  1.4   5   7  15.9  11.9  14.9
80404788 2010 04 04 20 21 36.000 -115.296232 32.274813 11.402  1.5  18  19   9.8   9.5  11.4
80404791 2010 04 04 21 32 26.280 -115.301408 32.287095  9.413  1.1   0   8   8.7   8.9  11.1
14607620 2010 04 04 22 34 50.600 -115.290096 32.274593 15.864  3.3  47  32  13.6  11.3  16.5
14607628 2010 04 04 22 39 05.360 -115.290771 32.279488 15.697  2.7 118 146   7.0   9.7  12.1
80404799 2010 04 04 22 39 43.280 -115.290039 32.277150 15.034  1.9   8   7  17.0  15.4  21.5
10169070 2010 04 04 22 39 57.280 -115.291504 32.277966 15.747  2.9 107 149   7.3  11.1  11.9
14607652 2010 04 04 22 40 42.180 -115.291235 32.271938 15.908  7.2   6   0  18.2  20.7  23.1
