# output relocated catalog from HYPODD (details can be found in Yao et al.[2019])
# EVID   YYYY MM DD HH MM  SECND  LONGITUDE   LATITUDE  DEPTH  ML  Pobs Sobs DX(m) DY(m) DZ(m)
								    P   S (phases)	
14603372 2010 03 21 23 02 55.480 -115.299080 32.286121  3.587  2.0   4   2   4.3   8.5   6.8
80321149 2010 03 21 23 06 39.240 -115.288843 32.274017 16.797  1.3   2   7  20.6  18.8  18.4
80321151 2010 03 21 23 07 08.020 -115.304224 32.268083 10.164  1.2   0   3  14.7  20.6  22.2
14603396 2010 03 21 23 10 18.560 -115.290120 32.272239 14.085  3.4   1   3  17.4  13.4  22.4
80321156 2010 03 21 23 10 55.360 -115.307397 32.266282 10.039  2.4   0   3  13.5  12.7  15.7
80321162 2010 03 21 23 23 51.960 -115.288875 32.275539 15.111  0.3   4  12   8.7  14.2  14.2
80321164 2010 03 21 23 24 37.440 -115.290169 32.274894 15.114  0.5  35  13   9.1  15.8  14.2
14603404 2010 03 21 23 33 25.200 -115.290527 32.275677 15.103  1.3  96  15   8.2  14.5  12.5
80321168 2010 03 21 23 45 33.960 -115.287467 32.315719  1.194  1.0   2   5  17.0  20.5  19.8
14603412 2010 03 21 23 46 08.520 -115.288070 32.317037  1.133  2.2   1   3  15.7  19.3  19.6
80321174 2010 03 21 23 51 48.040 -115.289396 32.274666 15.331  0.4   7  13   9.4  16.8  13.7
80321176 2010 03 21 23 53 19.160 -115.289144 32.274868 15.422  0.7  47  13   9.2  13.6  15.2
80322178 2010 03 22 00 12 11.820 -115.291821 32.281142 11.483  1.2   1   5   9.2  12.8  15.5
80322182 2010 03 22 00 53 28.270 -115.290658 32.282764 15.176  1.3  60   0  10.6  16.8  24.3
80322183 2010 03 22 00 58 00.390 -115.305843 32.268654  9.701  0.7   1   6  15.2  18.6  21.2
80322184 2010 03 22 01 08 11.200 -115.302417 32.286218  9.481  1.2  11  12   8.8  10.8  11.8
80322186 2010 03 22 01 14 04.370 -115.302515 32.287158  9.532  1.2   8  25   8.3  10.5   8.6
80322190 2010 03 22 02 42 52.400 -115.305420 32.269647  9.635  1.0   1   5  15.2  19.0  19.6
80322192 2010 03 22 03 00 07.790 -115.289176 32.270522  2.048  1.5  23  97   8.6   8.4   5.7
80322194 2010 03 22 03 01 26.770 -115.289119 32.270083  2.043  0.9   0   4  10.9  14.2  11.5
80322195 2010 03 22 03 12 49.520 -115.277148 32.294356 11.357  0.9   6   9  15.9  11.5  11.8
14603476 2010 03 22 03 17 14.850 -115.278809 32.292537 11.195  2.3   8   7  16.7  15.0  13.7
80322198 2010 03 22 03 20 23.340 -115.294735 32.272559 11.784  1.3   3   8  18.4  18.5  18.3
80322200 2010 03 22 03 23 57.050 -115.275814 32.294344 11.514  1.0   9   7  10.5  12.4  10.3
80322202 2010 03 22 03 25 38.360 -115.277157 32.293331 11.437  1.1  11   8   8.8   9.9   8.9
80322204 2010 03 22 03 40 58.460 -115.290828 32.284739 10.825  1.0   2   4  11.0  20.6  13.9
14603524 2010 03 22 04 23 38.340 -115.292155 32.282589 10.943  2.5   5  31   8.5   9.6   9.8
14603532 2010 03 22 04 28 09.930 -115.291447 32.267647 13.734  3.2   0   2  17.4  13.4  22.8
80322210 2010 03 22 04 32 25.180 -115.291211 32.279478 15.768  1.5   3  87  10.9  10.5  14.5
80322214 2010 03 22 04 54 30.060 -115.291960 32.282745 10.907  0.9   0   6  10.1  10.2  11.2
14603540 2010 03 22 05 14 41.780 -115.302059 32.286196  9.465  2.7   9  26   8.6  10.1   8.6
80322220 2010 03 22 05 45 07.680 -115.287541 32.316453  1.338  0.9   1   2  19.0  22.6  20.6
80322222 2010 03 22 05 47 48.850 -115.289860 32.269678  1.990  1.1   2  38  10.1  10.8  10.2
80322225 2010 03 22 06 18 54.670 -115.289469 32.270490  2.075  1.5  19 104   9.7   9.1   9.0
80322227 2010 03 22 06 34 41.760 -115.283146 32.278672 17.135  1.4   3  11  15.6  17.6  20.3
80322228 2010 03 22 06 34 58.830 -115.283219 32.278849 17.066  1.1   0   9  24.2  21.2  23.2
80322230 2010 03 22 06 44 30.140 -115.291797 32.270595  2.259  1.9   8  77  14.7  13.3  11.9
80322232 2010 03 22 07 09 34.850 -115.289787 32.280636 15.546  1.8   8  77   9.6   9.0  12.2
80322234 2010 03 22 08 25 36.640 -115.289437 32.269604  2.069  1.0  11  44   9.5  10.8   9.3
80322236 2010 03 22 08 26 03.540 -115.288249 32.271574  1.824  0.7   1   3  17.0  19.1  16.5
80322242 2010 03 22 10 12 26.560 -115.289502 32.272703  2.097  0.6   0   4  24.5  25.8  17.5
80322245 2010 03 22 10 22 27.090 -115.284375 32.277627 17.044  1.0   1   3  11.7  21.2  18.5
80322246 2010 03 22 10 31 26.080 -115.289111 32.269578  2.042  1.0   4  46   8.0   8.4   7.6
80322249 2010 03 22 12 06 47.850 -115.283162 32.279093 17.066  1.4   4  13  14.9  11.7  14.1
80322251 2010 03 22 13 37 49.740 -115.289738 32.270321  1.832  1.2   0  28  15.1  14.0   8.5
80322252 2010 03 22 17 27 39.000 -115.288949 32.268555  2.203  1.1   3  12  11.5  12.8  10.3
80322257 2010 03 22 20 57 44.940 -115.301139 32.247296 11.810  1.5  11  15   9.9  13.5   8.3
80322260 2010 03 22 22 45 34.640 -115.290063 32.270251  1.965  1.5   0  17  15.8  13.8  12.8
80323263 2010 03 23 04 17 20.840 -115.290096 32.269761  1.939  1.5  50 110   9.2  10.3  10.8
80323270 2010 03 23 07 58 20.360 -115.307454 32.266227 10.358  1.2  16  30   8.9   9.9  16.0
80323272 2010 03 23 08 30 51.200 -115.306852 32.267409 10.129  1.5  17  32   7.9   9.4   9.7
80323275 2010 03 23 11 03 26.450 -115.307739 32.267145 10.148  1.0  10  11  10.1  11.9  12.4
80323277 2010 03 23 11 35 00.320 -115.308008 32.288314  9.816  1.3   0   2  21.5  30.3  23.2
80323279 2010 03 23 17 30 50.920 -115.293140 32.272009  1.981  1.7  24  44  16.5  14.5  12.1
80323281 2010 03 23 17 31 01.440 -115.293132 32.271700  2.035  1.7   6  30  14.0  15.8  13.4
14603996 2010 03 23 18 38 05.200 -115.302808 32.273354  9.268  2.2  26  26  10.3  11.4  13.8
80323286 2010 03 23 18 39 03.300 -115.301986 32.273635  9.262  2.1  19  14   7.9   8.4  10.4
80323289 2010 03 23 19 03 24.600 -115.305501 32.272972  9.302  1.4   7   1  10.4  10.5  14.2
80323291 2010 03 23 19 37 52.180 -115.291968 32.280151 15.774  1.4   8   4  10.5  12.8  15.1
80323293 2010 03 23 21 38 17.160 -115.293188 32.294875  8.697  1.8   4   8   7.1   8.5   9.8
80324296 2010 03 24 01 20 16.610 -115.301050 32.246771 11.544  1.4  21  20   9.3  11.0   9.5
80324298 2010 03 24 02 23 01.780 -115.290470 32.310138  3.447  0.8   4   4  25.7  25.9  24.1
80324299 2010 03 24 06 11 50.910 -115.288647 32.314372  3.894  1.1  12  22  14.9  18.1  11.7
80324305 2010 03 24 08 28 12.280 -115.288631 32.313556  3.941  1.1   8  31  15.1  14.2  13.7
80324309 2010 03 24 13 54 38.040 -115.301546 32.287036  9.568  1.4   9   9  14.7  12.3  18.5
80324311 2010 03 24 14 29 15.590 -115.297078 32.271442 11.597  1.1   2   6  15.1  18.9  18.2
80324314 2010 03 24 16 40 31.390 -115.301180 32.247188 11.731  1.5  10  10  10.9   8.6  12.6
80324315 2010 03 24 18 00 09.820 -115.302165 32.247237 11.401  1.2   2   2  20.2  15.7  16.8
80324316 2010 03 24 18 24 56.440 -115.296322 32.272384 11.692  1.5   7  14  12.4  13.6  14.8
80324318 2010 03 24 22 57 53.760 -115.295549 32.271665 11.917  1.8  15  21  19.2  16.8  17.0
80325321 2010 03 25 03 26 01.640 -115.296102 32.273179 11.664  1.5  18  26  12.3  11.2  11.5
80325324 2010 03 25 08 11 57.790 -115.307031 32.267173 10.170  1.2   5   6  11.2  12.1  16.8
80325325 2010 03 25 09 08 15.640 -115.307625 32.267432 10.040  1.4  13  16   9.3  11.5  15.2
14604588 2010 03 25 11 55 39.170 -115.300814 32.310512  8.082  1.7   0   1  25.5  23.0  96.9
80325327 2010 03 25 17 37 53.000 -115.308236 32.266146 10.077  1.1   9   4  11.9  16.9  18.1
14604732 2010 03 25 20 26 25.600 -115.291838 32.276908 15.770  2.6  73  61  11.7  13.8  17.6
80326341 2010 03 26 04 51 27.950 -115.306494 32.264825 10.453  1.9  25  22  12.6  13.3  17.5
80326345 2010 03 26 05 24 59.830 -115.301839 32.248214 11.564  1.4   7   2  12.6  12.7  14.0
80326347 2010 03 26 09 28 59.390 -115.290511 32.275332 15.795  1.5  11  19  15.9  18.1  26.2
80326349 2010 03 26 14 31 08.330 -115.289461 32.316203  8.313  1.5   1   3  13.0  13.3  16.4
80326354 2010 03 26 20 56 25.160 -115.283870 32.303042  8.188  1.6   4   7  19.6  28.6  30.1
14605060 2010 03 27 00 29 26.310 -115.291382 32.276117 15.749  2.6  51  53  12.9  10.4  18.9
80327359 2010 03 27 00 42 05.050 -115.303271 32.274774  9.258  1.8  12  12  10.1  10.4  11.7
80327363 2010 03 27 04 14 10.880 -115.304858 32.292171 14.267  1.6  12  16   6.0   5.9   6.9
14605204 2010 03 27 15 05 11.810 -115.298551 32.283742 15.016  3.6   1   1  60.4  47.7  58.1
80328375 2010 03 28 00 41 19.830 -115.292611 32.284918 15.605  1.4  22  17  13.4  17.6  17.5
14605412 2010 03 28 08 16 58.170 -115.290186 32.309320  5.203  1.9  92  32  16.2  10.0  22.7
80328386 2010 03 28 08 18 11.860 -115.289795 32.309385  5.176  1.5  96  31  14.0  10.2  20.3
80328387 2010 03 28 08 23 26.620 -115.288965 32.309233  5.384  1.0   6   8  12.4  14.0  25.9
80328389 2010 03 28 08 24 25.140 -115.289738 32.310380  5.243  1.5  83  28  13.1  11.5  20.6
