# The detected catalog preceding the 2010 Mw7.2 El Mayor-Cucapah mainshock, Yao et al. (2019)
# PEAK AR: peak amplitude ratio; PCF AR: Principal Component Fit amplitude ratio
# EVID   YYYY MM DD HH MM SECD  LONGITUDE LATITUDE DEPTH   ML    ML   TEMPID   MCCV
#							PEAK AR     Best Matched
							       PCF AR             
80319063 2010 03 19 04 16 54.65 -115.3053 32.2630  9.740  0.81  0.42 14607180 0.316
80319064 2010 03 19 04 17 00.78 -115.3053 32.2630  9.740  1.00  0.66 14607180 0.688
80319065 2010 03 19 04 18 08.10 -115.3053 32.2630  9.740  0.76  0.35 14607180 0.335
80319066 2010 03 19 05 41 51.65 -115.2953 32.3175  4.438  0.83  0.25 14601852 0.219
80319067 2010 03 19 13 22 18.95 -115.3053 32.2630  9.740  0.75  0.37 14607180 0.352
80320068 2010 03 20 10 45 50.05 -115.3008 32.2795  9.266  1.07  0.69 14605924 0.194
10145122 2010 03 21 06 12 35.45 -115.2980 32.2703  8.240  3.91  4.00 10145122 1.000
80321070 2010 03 21 06 17 53.03 -115.2861 32.3128  3.663  0.80  0.47 14601812 0.227
80321071 2010 03 21 06 30 33.00 -115.3147 32.3173  3.690  0.98  0.59 14602988 0.231
14602988 2010 03 21 06 37 20.00 -115.3147 32.3173  3.690  2.05  1.57 14602988 1.000
80321073 2010 03 21 06 39 53.75 -115.3147 32.3173  3.690  1.02  1.02 14602988 0.162
80321074 2010 03 21 06 40 11.40 -115.2861 32.3128  3.663  0.85  0.55 14601812 0.330
80321075 2010 03 21 06 51 24.45 -115.3053 32.2630  9.740  0.70  0.24 14607180 0.267
80321076 2010 03 21 06 51 44.68 -115.3053 32.2630  9.740  0.85  0.52 14607180 0.331
80321077 2010 03 21 07 04 20.48 -115.3053 32.2630  9.740  0.76  0.53 14607180 0.325
80321078 2010 03 21 07 05 48.00 -115.3053 32.2630  9.740  0.78  0.44 14607180 0.509
80321080 2010 03 21 07 10 48.65 -115.3057 32.2827 17.940  1.44  0.92 14601532 0.166
80321081 2010 03 21 07 12 59.65 -115.2831 32.2883  6.680  1.50  0.77 14607220 0.179
80321082 2010 03 21 08 22 33.45 -115.3053 32.2630  9.740  1.31  1.01 14607180 0.526
80321084 2010 03 21 08 33 39.10 -115.3083 32.3128 11.720  1.04  0.88 14603084 0.456
14603084 2010 03 21 09 17 12.43 -115.3083 32.3128 11.720  1.41  1.34 14603084 1.000
80321087 2010 03 21 09 23 59.95 -115.3083 32.3128 11.720  0.52  0.52 14603084 0.243
80321088 2010 03 21 09 40 52.25 -115.3083 32.3128 11.720  0.92  0.82 14603084 0.649
80321090 2010 03 21 09 45 18.38 -115.3053 32.2630  9.740  0.57  0.07 14607180 0.255
80321091 2010 03 21 11 27 45.12 -115.2881 32.3002  3.858  1.18  0.94 14607372 0.179
80321092 2010 03 21 11 49 35.57 -115.3083 32.3128 11.720  0.56 -0.08 14603084 0.227
80321093 2010 03 21 13 57 54.68 -115.3053 32.2630  9.740  0.86  0.48 14607180 0.356
14603180 2010 03 21 15 25 12.70 -115.3002 32.2492  6.830  3.27  3.61 14603180 1.000
80321096 2010 03 21 15 28 23.12 -115.3198 32.3577  6.800  1.08  0.95 14603212 0.589
80321097 2010 03 21 15 33 10.93 -115.3198 32.3577  6.800  0.63  0.35 14603212 0.339
80321098 2010 03 21 15 33 50.80 -115.2850 32.2805 10.540  1.11  0.00 14603524 0.184
80321099 2010 03 21 15 35 09.32 -115.3198 32.3577  6.800  0.65 -0.08 14603212 0.181
80321100 2010 03 21 15 37 11.60 -115.3087 32.2698  9.190  1.18  0.82 14603996 0.379
80321102 2010 03 21 15 37 25.88 -115.3198 32.3577  6.800  0.96  0.57 14603212 0.282
80321103 2010 03 21 15 39 03.48 -115.3198 32.3577  6.800  0.85 -0.03 14603212 0.229
80321104 2010 03 21 15 39 41.68 -115.3053 32.2630  9.740  0.72  0.35 14607180 0.283
80321106 2010 03 21 15 43 10.48 -115.3198 32.3577  6.800  1.22  1.14 14603212 0.450
14603212 2010 03 21 15 54 42.03 -115.3198 32.3577  6.800  1.58  1.58 14603212 1.000
80321110 2010 03 21 15 56 18.38 -115.3053 32.2630  9.740  0.91  0.58 14607180 0.458
80321112 2010 03 21 15 58 59.53 -115.3053 32.2630  9.740  0.77  0.34 14607180 0.244
80321113 2010 03 21 16 10 10.95 -115.3087 32.2698  9.190  0.91  0.27 14603996 0.200
